# xp i yp j p u v ts tf
   0.00000   1    0.00000   1   1.019E+05  3.907E-08  6.502E-02  2.936E+02  2.930E+02
   0.00000   1    0.00316   2   1.019E+05  3.907E-08  6.502E-02  2.936E+02  2.930E+02
   0.00000   1    0.00947   3   1.019E+05  3.552E-08  6.500E-02  2.950E+02  2.930E+02
   0.00000   1    0.01578   4   1.019E+05  3.869E-08  6.500E-02  2.968E+02  2.930E+02
   0.00000   1    0.02209   5   1.019E+05  4.722E-08  6.500E-02  2.992E+02  2.930E+02
   0.00000   1    0.02841   6   1.019E+05  7.904E-08  6.500E-02  3.027E+02  2.930E+02
   0.00000   1    0.03472   7   1.019E+05  1.281E-07  6.500E-02  3.077E+02  2.930E+02
   0.00000   1    0.04103   8   1.019E+05  2.390E-07  6.500E-02  3.144E+02  2.930E+02
   0.00000   1    0.04734   9   1.019E+05  4.324E-07  6.500E-02  3.235E+02  2.930E+02
   0.00000   1    0.05366  10   1.019E+05  1.012E-06  6.500E-02  3.350E+02  2.930E+02
   0.00000   1    0.05997  11   1.018E+05  5.794E-07  6.500E-02  3.489E+02  2.930E+02
   0.00000   1    0.06628  12   1.018E+05  3.278E-07  6.500E-02  3.645E+02  2.930E+02
   0.00000   1    0.07259  13   1.018E+05  4.425E-07  6.501E-02  3.804E+02  2.930E+02
   0.00000   1    0.07891  14   1.018E+05  3.887E-07  6.500E-02  3.944E+02  2.930E+02
   0.00000   1    0.08522  15   1.018E+05  3.299E-07  6.500E-02  4.041E+02  2.930E+02
   0.00000   1    0.09153  16   1.018E+05  2.723E-07  6.500E-02  4.076E+02  2.930E+02
   0.00000   1    0.09784  17   1.018E+05  2.696E-07  6.500E-02  4.041E+02  2.930E+02
   0.00000   1    0.10416  18   1.018E+05  3.278E-07  6.500E-02  3.944E+02  2.930E+02
   0.00000   1    0.11047  19   1.018E+05  4.307E-07  6.500E-02  3.804E+02  2.930E+02
   0.00000   1    0.11678  20   1.018E+05  9.209E-07  6.500E-02  3.645E+02  2.930E+02
   0.00000   1    0.12309  21   1.018E+05  1.167E-06  6.500E-02  3.489E+02  2.930E+02
   0.00000   1    0.12941  22   1.018E+05  2.522E-06  6.500E-02  3.350E+02  2.930E+02
   0.00000   1    0.13572  23   1.018E+05  2.313E-05  6.500E-02  3.235E+02  2.930E+02
   0.00000   1    0.14203  24   1.017E+05  2.061E-06  6.501E-02  3.145E+02  2.930E+02
   0.00000   1    0.14834  25   1.017E+05 -9.074E-08  6.500E-02  3.077E+02  2.930E+02
   0.00000   1    0.15466  26   1.017E+05  2.590E-07  6.500E-02  3.028E+02  2.930E+02
   0.00000   1    0.16097  27   1.017E+05  2.300E-07  6.500E-02  2.994E+02  2.930E+02
   0.00000   1    0.16728  28   1.017E+05  2.806E-08  6.500E-02  2.971E+02  2.930E+02
   0.00000   1    0.17359  29   1.017E+05  2.570E-07  6.501E-02  2.955E+02  2.930E+02
   0.00000   1    0.17991  30   1.017E+05  7.256E-08  6.500E-02  2.945E+02  2.930E+02
   0.00000   1    0.18622  31   1.017E+05  2.664E-07  6.500E-02  2.939E+02  2.930E+02
   0.00000   1    0.19253  32   1.017E+05  2.485E-07  6.500E-02  2.935E+02  2.930E+02
   0.00000   1    0.19884  33   1.017E+05  2.582E-07  6.500E-02  2.933E+02  2.930E+02
   0.00000   1    0.20516  34   1.017E+05  2.775E-07  6.500E-02  2.932E+02  2.930E+02
   0.00000   1    0.21147  35   1.017E+05  3.042E-07  6.500E-02  2.931E+02  2.930E+02
   0.00000   1    0.21778  36   1.017E+05  5.176E-07  6.501E-02  2.931E+02  2.930E+02
