# xp i yp j p u v ts tf
   0.00620   2    0.41978  68   1.014E+05  6.297E-07  6.500E-02  2.930E+02  3.482E+02
   0.00620   2    0.42609  69   1.014E+05  4.178E-08  6.500E-02  2.930E+02  3.482E+02
   0.00620   2    0.43241  70   1.014E+05  1.602E-06  6.499E-02  2.930E+02  3.482E+02
   0.00620   2    0.43872  71   1.014E+05  2.258E-05  6.499E-02  2.930E+02  3.482E+02
   0.00620   2    0.44503  72   1.014E+05  1.756E-06  6.500E-02  2.930E+02  3.482E+02
   0.00620   2    0.45134  73   1.014E+05 -1.803E-07  6.501E-02  2.930E+02  3.482E+02
   0.00620   2    0.45766  74   1.014E+05  1.924E-07  6.500E-02  2.930E+02  3.482E+02
   0.00620   2    0.46397  75   1.014E+05  1.638E-07  6.499E-02  2.930E+02  3.482E+02
   0.00620   2    0.47028  76   1.014E+05 -9.704E-09  6.499E-02  2.930E+02  3.482E+02
   0.00620   2    0.47659  77   1.014E+05  1.842E-07  6.500E-02  2.930E+02  3.482E+02
   0.00620   2    0.48291  78   1.014E+05  6.265E-07  6.500E-02  2.930E+02  3.482E+02
   0.00620   2    0.48922  79   1.013E+05 -1.152E-06  6.500E-02  2.930E+02  3.482E+02
   0.00620   2    0.49553  80   1.013E+05 -2.230E-05  6.499E-02  2.930E+02  3.482E+02
   0.00620   2    0.50184  81   1.013E+05  2.058E-09  6.499E-02  2.930E+02  3.482E+02
   0.00620   2    0.50500  82   1.013E+05  0.000E+00  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.00000   1   1.019E+05  0.000E+00  6.500E-02  2.930E+02  2.930E+02
   0.01861   3    0.00316   2   1.019E+05 -7.907E-08  6.501E-02  2.932E+02  2.930E+02
   0.01861   3    0.00947   3   1.019E+05 -7.277E-08  6.499E-02  2.936E+02  2.930E+02
   0.01861   3    0.01578   4   1.019E+05 -6.378E-08  6.500E-02  2.943E+02  2.930E+02
   0.01861   3    0.02209   5   1.019E+05 -3.557E-08  6.499E-02  2.954E+02  2.930E+02
   0.01861   3    0.02841   6   1.019E+05 -2.944E-08  6.498E-02  2.971E+02  2.930E+02
   0.01861   3    0.03472   7   1.019E+05 -4.797E-09  6.499E-02  2.999E+02  2.930E+02
   0.01861   3    0.04103   8   1.019E+05  1.257E-08  6.499E-02  3.041E+02  2.930E+02
   0.01861   3    0.04734   9   1.019E+05  4.483E-08  6.498E-02  3.106E+02  2.930E+02
   0.01861   3    0.05366  10   1.018E+05  4.657E-08  6.498E-02  3.200E+02  2.930E+02
   0.01861   3    0.05997  11   1.018E+05  6.266E-08  6.497E-02  3.332E+02  2.930E+02
   0.01861   3    0.06628  12   1.018E+05  7.419E-08  6.498E-02  3.512E+02  2.930E+02
   0.01861   3    0.07259  13   1.018E+05  8.839E-08  6.498E-02  3.751E+02  2.930E+02
   0.01861   3    0.07891  14   1.018E+05  1.031E-07  6.497E-02  4.057E+02  2.931E+02
   0.01861   3    0.08522  15   1.018E+05  1.185E-07  6.490E-02  4.439E+02  2.956E+02
   0.01861   3    0.09153  16   1.018E+05  1.349E-07  6.505E-02  4.900E+02  3.482E+02
   0.01861   3    0.09784  17   1.018E+05  1.521E-07  6.498E-02  4.439E+02  3.482E+02
   0.01861   3    0.10416  18   1.018E+05  1.694E-07  6.497E-02  4.057E+02  3.482E+02
   0.01861   3    0.11047  19   1.018E+05  1.867E-07  6.498E-02  3.751E+02  3.482E+02
   0.01861   3    0.11678  20   1.018E+05  2.046E-07  6.497E-02  3.512E+02  3.482E+02
   0.01861   3    0.12309  21   1.018E+05  2.219E-07  6.497E-02  3.332E+02  3.482E+02
   0.01861   3    0.12941  22   1.018E+05  2.441E-07  6.497E-02  3.200E+02  3.482E+02
   0.01861   3    0.13572  23   1.018E+05  2.523E-07  6.498E-02  3.106E+02  3.482E+02
   0.01861   3    0.14203  24   1.017E+05  2.672E-07  6.498E-02  3.042E+02  3.482E+02
   0.01861   3    0.14834  25   1.017E+05  2.848E-07  6.497E-02  2.999E+02  3.482E+02
   0.01861   3    0.15466  26   1.017E+05  3.115E-07  6.497E-02  2.971E+02  3.482E+02
   0.01861   3    0.16097  27   1.017E+05  3.507E-07  6.497E-02  2.954E+02  3.482E+02
   0.01861   3    0.16728  28   1.017E+05  4.129E-07  6.498E-02  2.944E+02  3.482E+02
   0.01861   3    0.17359  29   1.017E+05  5.146E-07  6.498E-02  2.937E+02  3.482E+02
   0.01861   3    0.17991  30   1.017E+05  6.825E-07  6.497E-02  2.934E+02  3.482E+02
   0.01861   3    0.18622  31   1.017E+05  1.048E-06  6.497E-02  2.932E+02  3.482E+02
   0.01861   3    0.19253  32   1.017E+05  1.599E-06  6.497E-02  2.931E+02  3.482E+02
   0.01861   3    0.19884  33   1.017E+05  1.629E-06  6.498E-02  2.931E+02  3.482E+02
   0.01861   3    0.20516  34   1.017E+05  1.032E-06  6.498E-02  2.930E+02  3.482E+02
   0.01861   3    0.21147  35   1.017E+05  1.024E-06  6.498E-02  2.930E+02  3.482E+02
   0.01861   3    0.21778  36   1.017E+05  6.617E-07  6.498E-02  2.930E+02  3.482E+02
   0.01861   3    0.22409  37   1.017E+05  1.184E-06  6.498E-02  2.930E+02  3.482E+02
   0.01861   3    0.23041  38   1.016E+05  1.314E-06  6.498E-02  2.930E+02  3.482E+02
   0.01861   3    0.23672  39   1.016E+05  1.118E-06  6.498E-02  2.930E+02  3.482E+02
   0.01861   3    0.24303  40   1.016E+05  7.671E-07  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.24934  41   1.016E+05  9.524E-07  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.25566  42   1.016E+05  1.061E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.26197  43   1.016E+05  1.229E-06  6.498E-02  2.930E+02  3.482E+02
   0.01861   3    0.26828  44   1.016E+05  1.904E-06  6.498E-02  2.930E+02  3.482E+02
   0.01861   3    0.27459  45   1.016E+05  1.677E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.28091  46   1.016E+05  1.335E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.28722  47   1.016E+05  1.644E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.29353  48   1.016E+05  1.854E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.29984  49   1.016E+05  1.945E-06  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.30616  50   1.016E+05  2.574E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.31247  51   1.015E+05  2.775E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.31878  52   1.015E+05  2.060E-06  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.32509  53   1.015E+05  4.112E-06  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.33141  54   1.015E+05  7.893E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.33772  55   1.015E+05  4.274E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.34403  56   1.015E+05  1.727E-06  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.35034  57   1.015E+05  4.054E-06  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.35666  58   1.015E+05  8.188E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.36297  59   1.015E+05  4.574E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.36928  60   1.015E+05  2.206E-06  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.37559  61   1.015E+05  2.056E-06  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.38191  62   1.015E+05  2.678E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.38822  63   1.015E+05  2.469E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.39453  64   1.015E+05  2.293E-06  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.40084  65   1.014E+05  2.093E-06  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.40716  66   1.014E+05  2.439E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.41347  67   1.014E+05  2.347E-06  6.499E-02  2.930E+02  3.482E+02
   0.01861   3    0.41978  68   1.014E+05  2.008E-06  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.42609  69   1.014E+05  1.109E-06  6.500E-02  2.930E+02  3.482E+02
   0.01861   3    0.43241  70   1.014E+05  2.900E-06  6.500E-02  2.930E+02  3.482E+02
