# xp i yp j p u v ts tf
   0.00000   1    0.00000   1   1.019E+05 -9.272E-08  6.498E-02  2.932E+02  2.930E+02
   0.00000   1    0.00316   2   1.019E+05 -9.272E-08  6.498E-02  2.932E+02  2.930E+02
   0.00000   1    0.00947   3   1.019E+05 -9.278E-08  6.500E-02  2.936E+02  2.930E+02
   0.00000   1    0.01578   4   1.019E+05 -9.173E-08  6.499E-02  2.943E+02  2.930E+02
   0.00000   1    0.02209   5   1.019E+05 -9.017E-08  6.498E-02  2.953E+02  2.930E+02
   0.00000   1    0.02841   6   1.019E+05 -8.816E-08  6.499E-02  2.970E+02  2.930E+02
   0.00000   1    0.03472   7   1.019E+05 -8.588E-08  6.499E-02  2.997E+02  2.930E+02
   0.00000   1    0.04103   8   1.019E+05 -8.318E-08  6.498E-02  3.039E+02  2.930E+02
   0.00000   1    0.04734   9   1.019E+05 -7.951E-08  6.498E-02  3.103E+02  2.930E+02
   0.00000   1    0.05366  10   1.018E+05 -7.267E-08  6.497E-02  3.196E+02  2.930E+02
   0.00000   1    0.05997  11   1.018E+05 -6.414E-08  6.497E-02  3.327E+02  2.930E+02
   0.00000   1    0.06628  12   1.018E+05 -5.516E-08  6.497E-02  3.506E+02  2.930E+02
   0.00000   1    0.07259  13   1.018E+05 -4.675E-08  6.498E-02  3.744E+02  2.930E+02
   0.00000   1    0.07891  14   1.018E+05 -3.862E-08  6.497E-02  4.050E+02  2.931E+02
   0.00000   1    0.08522  15   1.018E+05 -3.088E-08  6.490E-02  4.431E+02  2.956E+02
   0.00000   1    0.09153  16   1.018E+05 -2.346E-08  6.504E-02  4.892E+02  3.482E+02
   0.00000   1    0.09784  17   1.018E+05 -1.609E-08  6.498E-02  4.431E+02  3.482E+02
   0.00000   1    0.10416  18   1.018E+05 -1.066E-08  6.497E-02  4.050E+02  3.482E+02
   0.00000   1    0.11047  19   1.018E+05 -5.185E-09  6.497E-02  3.744E+02  3.482E+02
   0.00000   1    0.11678  20   1.018E+05 -1.377E-09  6.497E-02  3.506E+02  3.482E+02
   0.00000   1    0.12309  21   1.018E+05  2.483E-09  6.497E-02  3.327E+02  3.482E+02
   0.00000   1    0.12941  22   1.018E+05  6.725E-09  6.497E-02  3.196E+02  3.482E+02
   0.00000   1    0.13572  23   1.018E+05  1.198E-08  6.497E-02  3.103E+02  3.482E+02
   0.00000   1    0.14203  24   1.017E+05  1.838E-08  6.497E-02  3.039E+02  3.482E+02
   0.00000   1    0.14834  25   1.017E+05  2.769E-08  6.497E-02  2.997E+02  3.482E+02
   0.00000   1    0.15466  26   1.017E+05  4.009E-08  6.497E-02  2.970E+02  3.482E+02
   0.00000   1    0.16097  27   1.017E+05  5.808E-08  6.497E-02  2.953E+02  3.482E+02
   0.00000   1    0.16728  28   1.017E+05  8.513E-08  6.497E-02  2.943E+02  3.482E+02
   0.00000   1    0.17359  29   1.017E+05  1.324E-07  6.497E-02  2.937E+02  3.482E+02
   0.00000   1    0.17991  30   1.017E+05  2.076E-07  6.497E-02  2.934E+02  3.482E+02
   0.00000   1    0.18622  31   1.017E+05  4.337E-07  6.497E-02  2.932E+02  3.482E+02
   0.00000   1    0.19253  32   1.017E+05  6.901E-07  6.497E-02  2.931E+02  3.482E+02
   0.00000   1    0.19884  33   1.017E+05  5.389E-07  6.498E-02  2.930E+02  3.482E+02
   0.00000   1    0.20516  34   1.017E+05  1.607E-07  6.498E-02  2.930E+02  3.482E+02
