# xp i yp j p u v ts tf
   0.00000   1    0.00000   1   1.019E+05 -1.136E-07  6.502E-02  2.932E+02  2.930E+02
   0.00000   1    0.00316   2   1.019E+05 -1.136E-07  6.502E-02  2.932E+02  2.930E+02
   0.00000   1    0.00947   3   1.019E+05 -1.264E-07  6.500E-02  2.938E+02  2.930E+02
   0.00000   1    0.01578   4   1.019E+05 -1.610E-07  6.500E-02  2.946E+02  2.930E+02
   0.00000   1    0.02209   5   1.019E+05 -1.848E-07  6.500E-02  2.958E+02  2.930E+02
   0.00000   1    0.02841   6   1.019E+05 -3.598E-07  6.500E-02  2.978E+02  2.930E+02
   0.00000   1    0.03472   7   1.019E+05 -5.626E-07  6.499E-02  3.008E+02  2.930E+02
   0.00000   1    0.04103   8   1.019E+05 -3.550E-07  6.499E-02  3.055E+02  2.930E+02
   0.00000   1    0.04734   9   1.019E+05 -1.710E-07  6.499E-02  3.124E+02  2.930E+02
   0.00000   1    0.05366  10   1.019E+05 -1.325E-07  6.499E-02  3.223E+02  2.930E+02
   0.00000   1    0.05997  11   1.018E+05 -1.074E-07  6.498E-02  3.362E+02  2.930E+02
   0.00000   1    0.06628  12   1.018E+05 -9.685E-08  6.499E-02  3.548E+02  2.930E+02
   0.00000   1    0.07259  13   1.018E+05 -8.603E-08  6.499E-02  3.790E+02  2.930E+02
   0.00000   1    0.07891  14   1.018E+05 -7.283E-08  6.498E-02  4.089E+02  2.930E+02
   0.00000   1    0.08522  15   1.018E+05 -5.229E-08  6.498E-02  4.412E+02  2.930E+02
   0.00000   1    0.09153  16   1.018E+05 -2.282E-08  6.497E-02  4.617E+02  2.930E+02
   0.00000   1    0.09784  17   1.018E+05  2.549E-08  6.496E-02  4.412E+02  2.930E+02
   0.00000   1    0.10416  18   1.018E+05  9.299E-08  6.496E-02  4.089E+02  2.930E+02
   0.00000   1    0.11047  19   1.018E+05  2.966E-07  6.496E-02  3.790E+02  2.930E+02
   0.00000   1    0.11678  20   1.018E+05  5.415E-07  6.496E-02  3.548E+02  2.930E+02
   0.00000   1    0.12309  21   1.018E+05  3.664E-07  6.496E-02  3.362E+02  2.930E+02
   0.00000   1    0.12941  22   1.018E+05  2.134E-07  6.496E-02  3.223E+02  2.930E+02
   0.00000   1    0.13572  23   1.018E+05  2.394E-07  6.496E-02  3.124E+02  2.930E+02
   0.00000   1    0.14203  24   1.017E+05  2.437E-07  6.496E-02  3.055E+02  2.930E+02
   0.00000   1    0.14834  25   1.017E+05  4.740E-07  6.497E-02  3.008E+02  2.930E+02
   0.00000   1    0.15466  26   1.017E+05  5.228E-07  6.496E-02  2.978E+02  2.930E+02
   0.00000   1    0.16097  27   1.017E+05  5.454E-07  6.496E-02  2.958E+02  2.930E+02
   0.00000   1    0.16728  28   1.017E+05  4.020E-07  6.496E-02  2.946E+02  2.930E+02
   0.00000   1    0.17359  29   1.017E+05  4.267E-07  6.496E-02  2.939E+02  2.930E+02
   0.00000   1    0.17991  30   1.017E+05  4.505E-07  6.496E-02  2.935E+02  2.930E+02
   0.00000   1    0.18622  31   1.017E+05  5.028E-07  6.496E-02  2.933E+02  2.930E+02
   0.00000   1    0.19253  32   1.017E+05  3.373E-07  6.497E-02  2.931E+02  2.930E+02
   0.00000   1    0.19884  33   1.017E+05  5.138E-07  6.496E-02  2.931E+02  2.930E+02
   0.00000   1    0.20516  34   1.017E+05  4.613E-07  6.496E-02  2.930E+02  2.930E+02
   0.00000   1    0.21147  35   1.017E+05  4.549E-07  6.496E-02  2.930E+02  2.930E+02
   0.00000   1    0.21778  36   1.017E+05  4.706E-07  6.496E-02  2.930E+02  2.930E+02
   0.00000   1    0.22409  37   1.017E+05  6.714E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.23041  38   1.016E+05  9.409E-07  6.496E-02  2.930E+02  2.930E+02
   0.00000   1    0.23672  39   1.016E+05  7.394E-07  6.496E-02  2.930E+02  2.930E+02
   0.00000   1    0.24303  40   1.016E+05  5.663E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.24934  41   1.016E+05  5.735E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.25566  42   1.016E+05  3.614E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.26197  43   1.016E+05  5.296E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.26828  44   1.016E+05  5.316E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.27459  45   1.016E+05  5.030E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.28091  46   1.016E+05  4.734E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.28722  47   1.016E+05  4.638E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.29353  48   1.016E+05  5.036E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.29984  49   1.016E+05  5.536E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.30616  50   1.016E+05  8.070E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.31247  51   1.015E+05  1.104E-06  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.31878  52   1.015E+05  9.489E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.32509  53   1.015E+05  3.404E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.33141  54   1.015E+05  2.218E-06  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.33772  55   1.015E+05  2.358E-05  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.34403  56   1.015E+05  2.717E-06  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.35034  57   1.015E+05  2.187E-06  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.35666  58   1.015E+05  2.320E-05  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.36297  59   1.015E+05  1.804E-06  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.36928  60   1.015E+05 -1.677E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.37559  61   1.015E+05  3.760E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.38191  62   1.015E+05  3.488E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.38822  63   1.015E+05  3.693E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.39453  64   1.015E+05  3.441E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.40084  65   1.014E+05  3.469E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.40716  66   1.014E+05  3.320E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.41347  67   1.014E+05  3.090E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.41978  68   1.014E+05  2.848E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.42609  69   1.014E+05  2.555E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.43241  70   1.014E+05  2.238E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.43872  71   1.014E+05  2.028E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.44503  72   1.014E+05  1.977E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.45134  73   1.014E+05  2.117E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.45766  74   1.014E+05  2.458E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.46397  75   1.014E+05  1.950E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.47028  76   1.014E+05  1.885E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.47659  77   1.014E+05  1.682E-07  6.497E-02  2.930E+02  2.930E+02
   0.00000   1    0.48291  78   1.014E+05  6.407E-07  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.48922  79   1.013E+05 -1.283E-06  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.49553  80   1.013E+05 -2.226E-05  6.498E-02  2.930E+02  2.930E+02
   0.00000   1    0.50184  81   1.013E+05  6.697E-08  6.499E-02  2.930E+02  2.930E+02
   0.00000   1    0.50500  82   1.013E+05  6.697E-08  6.499E-02  2.930E+02  2.930E+02
   0.00620   2    0.00000   1   1.019E+05  0.000E+00  6.500E-02  2.930E+02  2.930E+02
   0.00620   2    0.00316   2   1.019E+05 -1.136E-07  6.502E-02  2.932E+02  2.930E+02
   0.00620   2    0.00947   3   1.019E+05 -1.264E-07  6.500E-02  2.938E+02  2.930E+02
   0.00620   2    0.01578   4   1.019E+05 -1.610E-07  6.500E-02  2.946E+02  2.930E+02
   0.00620   2    0.02209   5   1.019E+05 -1.848E-07  6.500E-02  2.958E+02  2.930E+02
   0.00620   2    0.02841   6   1.019E+05 -3.598E-07  6.500E-02  2.978E+02  2.930E+02
   0.00620   2    0.03472   7   1.019E+05 -5.626E-07  6.499E-02  3.008E+02  2.930E+02
   0.00620   2    0.04103   8   1.019E+05 -3.550E-07  6.499E-02  3.055E+02  2.930E+02
   0.00620   2    0.04734   9   1.019E+05 -1.710E-07  6.499E-02  3.124E+02  2.930E+02
   0.00620   2    0.05366  10   1.019E+05 -1.325E-07  6.499E-02  3.223E+02  2.930E+02
   0.00620   2    0.05997  11   1.018E+05 -1.074E-07  6.498E-02  3.362E+02  2.930E+02
   0.00620   2    0.06628  12   1.018E+05 -9.685E-08  6.499E-02  3.548E+02  2.930E+02
   0.00620   2    0.07259  13   1.018E+05 -8.603E-08  6.499E-02  3.790E+02  2.930E+02
   0.00620   2    0.07891  14   1.018E+05 -7.283E-08  6.498E-02  4.089E+02  2.930E+02
   0.00620   2    0.08522  15   1.018E+05 -5.229E-08  6.498E-02  4.412E+02  2.930E+02
   0.00620   2    0.09153  16   1.018E+05 -2.282E-08  6.497E-02  4.617E+02  2.930E+02
   0.00620   2    0.09784  17   1.018E+05  2.549E-08  6.496E-02  4.412E+02  2.930E+02
   0.00620   2    0.10416  18   1.018E+05  9.299E-08  6.496E-02  4.089E+02  2.930E+02
   0.00620   2    0.11047  19   1.018E+05  2.966E-07  6.496E-02  3.790E+02  2.930E+02
   0.00620   2    0.11678  20   1.018E+05  5.415E-07  6.496E-02  3.548E+02  2.930E+02
   0.00620   2    0.12309  21   1.018E+05  3.664E-07  6.496E-02  3.362E+02  2.930E+02
   0.00620   2    0.12941  22   1.018E+05  2.134E-07  6.496E-02  3.223E+02  2.930E+02
   0.00620   2    0.13572  23   1.018E+05  2.394E-07  6.496E-02  3.124E+02  2.930E+02
   0.00620   2    0.14203  24   1.017E+05  2.437E-07  6.496E-02  3.055E+02  2.930E+02
   0.00620   2    0.14834  25   1.017E+05  4.740E-07  6.497E-02  3.008E+02  2.930E+02
   0.00620   2    0.15466  26   1.017E+05  5.228E-07  6.496E-02  2.978E+02  2.930E+02
   0.00620   2    0.16097  27   1.017E+05  5.454E-07  6.496E-02  2.958E+02  2.930E+02
   0.00620   2    0.16728  28   1.017E+05  4.020E-07  6.496E-02  2.946E+02  2.930E+02
   0.00620   2    0.17359  29   1.017E+05  4.267E-07  6.496E-02  2.939E+02  2.930E+02
   0.00620   2    0.17991  30   1.017E+05  4.505E-07  6.496E-02  2.935E+02  2.930E+02
   0.00620   2    0.18622  31   1.017E+05  5.028E-07  6.496E-02  2.933E+02  2.930E+02
