# xp i yp j p u v ts tf
   0.00000   1    0.00000   1   1.019E+05 -1.739E-08  6.501E-02  2.931E+02  2.930E+02
   0.00000   1    0.00316   2   1.019E+05 -1.739E-08  6.501E-02  2.931E+02  2.930E+02
   0.00000   1    0.00947   3   1.019E+05  1.881E-07  6.499E-02  2.934E+02  2.930E+02
   0.00000   1    0.01578   4   1.019E+05 -1.861E-08  6.498E-02  2.939E+02  2.930E+02
   0.00000   1    0.02209   5   1.019E+05 -4.991E-08  6.497E-02  2.947E+02  2.930E+02
   0.00000   1    0.02841   6   1.019E+05 -1.254E-07  6.497E-02  2.961E+02  2.930E+02
   0.00000   1    0.03472   7   1.019E+05 -2.109E-07  6.495E-02  2.984E+02  2.930E+02
   0.00000   1    0.04103   8   1.019E+05 -4.314E-07  6.495E-02  3.020E+02  2.930E+02
   0.00000   1    0.04734   9   1.019E+05 -6.784E-07  6.494E-02  3.076E+02  2.930E+02
   0.00000   1    0.05366  10   1.018E+05 -4.828E-07  6.493E-02  3.161E+02  2.930E+02
   0.00000   1    0.05997  11   1.018E+05 -2.575E-07  6.493E-02  3.282E+02  2.930E+02
   0.00000   1    0.06628  12   1.018E+05 -1.657E-07  6.493E-02  3.452E+02  2.930E+02
   0.00000   1    0.07259  13   1.018E+05 -1.057E-07  6.492E-02  3.681E+02  2.930E+02
   0.00000   1    0.07891  14   1.018E+05 -5.652E-08  6.491E-02  3.979E+02  2.931E+02
   0.00000   1    0.08522  15   1.018E+05 -3.905E-08  6.485E-02  4.355E+02  2.956E+02
   0.00000   1    0.09153  16   1.018E+05  1.573E-07  6.499E-02  4.815E+02  3.483E+02
   0.00000   1    0.09784  17   1.018E+05 -2.557E-08  6.491E-02  4.355E+02  3.483E+02
   0.00000   1    0.10416  18   1.018E+05 -2.726E-08  6.491E-02  3.979E+02  3.483E+02
   0.00000   1    0.11047  19   1.018E+05 -3.632E-08  6.492E-02  3.681E+02  3.483E+02
   0.00000   1    0.11678  20   1.018E+05 -1.941E-08  6.493E-02  3.452E+02  3.483E+02
   0.00000   1    0.12309  21   1.018E+05  7.959E-10  6.493E-02  3.282E+02  3.483E+02
   0.00000   1    0.12941  22   1.018E+05  1.888E-08  6.492E-02  3.161E+02  3.483E+02
   0.00000   1    0.13572  23   1.018E+05  4.227E-08  6.492E-02  3.076E+02  3.483E+02
   0.00000   1    0.14203  24   1.017E+05  6.653E-08  6.493E-02  3.020E+02  3.483E+02
   0.00000   1    0.14834  25   1.017E+05  1.022E-07  6.493E-02  2.984E+02  3.483E+02
   0.00000   1    0.15466  26   1.017E+05  1.057E-07  6.494E-02  2.961E+02  3.483E+02
   0.00000   1    0.16097  27   1.017E+05  2.064E-07  6.493E-02  2.947E+02  3.483E+02
   0.00000   1    0.16728  28   1.017E+05  5.184E-10  6.493E-02  2.940E+02  3.483E+02
   0.00000   1    0.17359  29   1.017E+05  9.302E-07  6.495E-02  2.935E+02  3.483E+02
   0.00000   1    0.17991  30   1.017E+05  4.055E-07  6.495E-02  2.933E+02  3.483E+02
   0.00000   1    0.18622  31   1.017E+05  2.901E-07  6.495E-02  2.931E+02  3.483E+02
   0.00000   1    0.19253  32   1.017E+05  2.503E-07  6.495E-02  2.931E+02  3.483E+02
   0.00000   1    0.19884  33   1.017E+05  2.530E-07  6.495E-02  2.930E+02  3.483E+02
   0.00000   1    0.20516  34   1.017E+05  2.781E-07  6.495E-02  2.930E+02  3.483E+02
   0.00000   1    0.21147  35   1.017E+05  3.248E-07  6.495E-02  2.930E+02  3.483E+02
   0.00000   1    0.21778  36   1.017E+05  5.228E-07  6.496E-02  2.930E+02  3.483E+02
   0.00000   1    0.22409  37   1.017E+05  7.514E-07  6.497E-02  2.930E+02  3.483E+02
   0.00000   1    0.23041  38   1.016E+05  5.883E-07  6.497E-02  2.930E+02  3.483E+02
   0.00000   1    0.23672  39   1.016E+05  4.262E-07  6.497E-02  2.930E+02  3.483E+02
   0.00000   1    0.24303  40   1.016E+05  3.408E-07  6.497E-02  2.930E+02  3.483E+02
   0.00000   1    0.24934  41   1.016E+05  2.437E-07  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.25566  42   1.016E+05  2.069E-07  6.497E-02  2.930E+02  3.483E+02
   0.00000   1    0.26197  43   1.016E+05 -1.331E-08  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.26828  44   1.016E+05  1.524E-07  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.27459  45   1.016E+05  1.369E-07  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.28091  46   1.016E+05 -4.279E-08  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.28722  47   1.016E+05  1.437E-07  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.29353  48   1.016E+05 -2.573E-07  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.29984  49   1.016E+05  1.419E-06  6.497E-02  2.930E+02  3.483E+02
   0.00000   1    0.30616  50   1.016E+05  2.248E-05  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.31247  51   1.015E+05  1.895E-06  6.499E-02  2.930E+02  3.483E+02
   0.00000   1    0.31878  52   1.015E+05  2.132E-07  6.499E-02  2.930E+02  3.483E+02
   0.00000   1    0.32509  53   1.015E+05  7.643E-07  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.33141  54   1.015E+05  9.448E-07  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.33772  55   1.015E+05  1.013E-06  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.34403  56   1.015E+05  1.468E-06  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.35034  57   1.015E+05  1.257E-06  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.35666  58   1.015E+05  1.501E-06  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.36297  59   1.015E+05  1.126E-06  6.499E-02  2.930E+02  3.483E+02
   0.00000   1    0.36928  60   1.015E+05  1.035E-06  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.37559  61   1.015E+05  1.350E-06  6.499E-02  2.930E+02  3.483E+02
   0.00000   1    0.38191  62   1.015E+05  9.304E-07  6.499E-02  2.930E+02  3.483E+02
   0.00000   1    0.38822  63   1.015E+05  1.001E-06  6.499E-02  2.930E+02  3.483E+02
   0.00000   1    0.39453  64   1.015E+05  9.140E-07  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.40084  65   1.014E+05  9.724E-07  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.40716  66   1.014E+05  1.333E-06  6.498E-02  2.930E+02  3.483E+02
   0.00000   1    0.41347  67   1.014E+05  2.253E-06  6.498E-02  2.930E+02  3.483E+02
