Time DTG TG Flux Temperature
434	-0.0134	-0.0136	-1.05	38.96
437.5	-0.0136	-0.0151	-1.06	39.14
441	-0.0138	-0.0172	-1.06	39.23
444.5	-0.0139	-0.0174	-1.08	39.41
448	-0.0141	-0.0163	-1.08	39.57
451.5	-0.0142	-0.018	-1.09	39.73
455	-0.0144	-0.0184	-1.11	39.9
458.5	-0.0145	-0.0182	-1.12	40.03
462	-0.0146	-0.0215	-1.13	40.16
465.5	-0.0147	-0.0213	-1.16	40.33
469	-0.0148	-0.0205	-1.17	40.5
472.5	-0.015	-0.0202	-1.19	40.67
476	-0.0151	-0.0226	-1.2	40.82
479.5	-0.0151	-0.023	-1.21	40.96
483	-0.0152	-0.0222	-1.22	41.19
486.5	-0.0154	-0.0222	-1.24	41.35
490	-0.0155	-0.022	-1.25	41.48
493.5	-0.0156	-0.022	-1.26	41.65
497	-0.0158	-0.0239	-1.27	41.8
500.5	-0.0159	-0.0256	-1.27	42.01
504	-0.016	-0.0259	-1.28	42.24
507.5	-0.0162	-0.0278	-1.29	42.39
511	-0.0163	-0.0299	-1.3	42.54
514.5	-0.0165	-0.0309	-1.3	42.65
518	-0.0166	-0.0328	-1.31	42.83
521.5	-0.0168	-0.0328	-1.32	43.04
525	-0.017	-0.0335	-1.33	43.26
528.5	-0.0172	-0.0345	-1.35	43.42
532	-0.0173	-0.0361	-1.36	43.55
535.5	-0.0175	-0.0369	-1.36	43.74
539	-0.0177	-0.0388	-1.36	43.88
542.5	-0.0179	-0.0393	-1.37	44.09
546	-0.0181	-0.0404	-1.37	44.29
549.5	-0.0183	-0.0411	-1.37	44.46
553	-0.0185	-0.0429	-1.38	44.67
556.5	-0.0187	-0.0444	-1.38	44.82
560	-0.0189	-0.0457	-1.38	44.97
563.5	-0.0191	-0.0459	-1.39	45.17
567	-0.0193	-0.0466	-1.39	45.37
570.5	-0.0195	-0.0481	-1.4	45.52
574	-0.0197	-0.0491	-1.39	45.72
577.5	-0.02	-0.048	-1.4	45.93
581	-0.0202	-0.0499	-1.39	46.1
584.5	-0.0205	-0.0512	-1.4	46.23
588	-0.0207	-0.0534	-1.4	46.41
591.5	-0.021	-0.056	-1.41	46.63
595	-0.0212	-0.0581	-1.41	46.81
598.5	-0.0214	-0.0607	-1.41	47.01
602	-0.0215	-0.0608	-1.42	47.16
605.5	-0.0217	-0.062	-1.43	47.34
609	-0.022	-0.0614	-1.43	47.52
612.5	-0.0222	-0.0625	-1.45	47.76
616	-0.0224	-0.0651	-1.45	47.96
619.5	-0.0226	-0.0668	-1.46	48.12
623	-0.0228	-0.0669	-1.47	48.27
626.5	-0.0231	-0.0673	-1.48	48.43
630	-0.0233	-0.0695	-1.49	48.64
633.5	-0.0235	-0.0714	-1.49	48.85
637	-0.0237	-0.0727	-1.49	49.07
640.5	-0.0238	-0.0732	-1.5	49.25
644	-0.024	-0.0738	-1.51	49.4
647.5	-0.0242	-0.074	-1.51	49.56
651	-0.0245	-0.0762	-1.51	49.79
654.5	-0.0247	-0.0763	-1.52	49.96
658	-0.025	-0.0784	-1.52	50.09
661.5	-0.0253	-0.0789	-1.51	50.32
665	-0.0255	-0.0805	-1.51	50.54
668.5	-0.0258	-0.083	-1.53	50.71
672	-0.0261	-0.0853	-1.52	50.92
675.5	-0.0263	-0.0882	-1.53	51.09
679	-0.0266	-0.0899	-1.53	51.27
682.5	-0.0268	-0.0909	-1.53	51.51
686	-0.027	-0.0929	-1.53	51.69
689.5	-0.0273	-0.0931	-1.55	51.82
693	-0.0275	-0.0947	-1.55	52.02
696.5	-0.0278	-0.0961	-1.56	52.24
700	-0.028	-0.0977	-1.56	52.47
703.5	-0.0282	-0.0995	-1.56	52.67
707	-0.0284	-0.1022	-1.57	52.84
710.5	-0.0286	-0.1036	-1.58	52.99
714	-0.0288	-0.1058	-1.6	53.23
717.5	-0.029	-0.1088	-1.61	53.44
721	-0.0292	-0.1108	-1.62	53.62
724.5	-0.0293	-0.1118	-1.63	53.81
728	-0.0295	-0.1114	-1.62	53.98
731.5	-0.0297	-0.1146	-1.65	54.15
735	-0.0298	-0.1156	-1.64	54.35
738.5	-0.03	-0.1177	-1.64	54.54
742	-0.0302	-0.1192	-1.65	54.73
745.5	-0.0304	-0.1221	-1.63	54.97
749	-0.0306	-0.1224	-1.65	55.14
752.5	-0.0308	-0.1252	-1.64	55.3
756	-0.0309	-0.1275	-1.65	55.52
759.5	-0.031	-0.1296	-1.66	55.75
763	-0.0312	-0.1306	-1.65	55.91
766.5	-0.0313	-0.1328	-1.63	56.12
770	-0.0315	-0.1348	-1.64	56.31
773.5	-0.0316	-0.1346	-1.65	56.45
777	-0.0318	-0.1376	-1.64	56.69
780.5	-0.032	-0.1392	-1.65	56.9
784	-0.0321	-0.1404	-1.65	57.1
787.5	-0.0323	-0.1433	-1.65	57.28
791	-0.0324	-0.1434	-1.66	57.44
794.5	-0.0326	-0.1464	-1.66	57.69
798	-0.0328	-0.1493	-1.67	57.88
801.5	-0.0329	-0.1519	-1.68	58.01
805	-0.033	-0.1555	-1.69	58.21
808.5	-0.0331	-0.1565	-1.7	58.4
812	-0.0332	-0.1581	-1.7	58.6
815.5	-0.0332	-0.1603	-1.7	58.79
819	-0.0333	-0.1631	-1.72	58.96
822.5	-0.0333	-0.1651	-1.73	59.15
826	-0.0334	-0.1682	-1.72	59.37
829.5	-0.0335	-0.1696	-1.72	59.54
833	-0.0335	-0.1706	-1.73	59.7
836.5	-0.0336	-0.1733	-1.72	59.93
840	-0.0336	-0.1746	-1.71	60.1
843.5	-0.0336	-0.1763	-1.72	60.31
847	-0.0337	-0.1765	-1.74	60.49
850.5	-0.0338	-0.1792	-1.75	60.67
854	-0.0338	-0.1803	-1.76	60.88
857.5	-0.0339	-0.1812	-1.76	61.09
861	-0.0341	-0.1842	-1.76	61.28
864.5	-0.0342	-0.1851	-1.77	61.45
868	-0.0343	-0.188	-1.77	61.67
871.5	-0.0344	-0.1903	-1.76	61.87
875	-0.0345	-0.1933	-1.77	62.02
878.5	-0.0345	-0.1943	-1.77	62.26
882	-0.0346	-0.1975	-1.79	62.49
885.5	-0.0347	-0.1987	-1.79	62.63
889	-0.0348	-0.2006	-1.79	62.82
892.5	-0.0349	-0.2034	-1.78	63.02
896	-0.035	-0.2048	-1.79	63.23
899.5	-0.0351	-0.2056	-1.79	63.39
903	-0.0352	-0.2064	-1.77	63.57
906.5	-0.0354	-0.2092	-1.75	63.81
910	-0.0355	-0.2119	-1.76	63.98
913.5	-0.0356	-0.213	-1.76	64.14
917	-0.0357	-0.216	-1.76	64.34
920.5	-0.0358	-0.2201	-1.76	64.57
924	-0.0359	-0.2224	-1.75	64.78
927.5	-0.0359	-0.2239	-1.76	64.96
931	-0.036	-0.2253	-1.75	65.16
934.5	-0.036	-0.2279	-1.75	65.34
938	-0.0361	-0.2306	-1.75	65.53
941.5	-0.0361	-0.2345	-1.75	65.79
945	-0.0361	-0.2359	-1.75	65.98
948.5	-0.0361	-0.2382	-1.76	66.1
952	-0.0362	-0.2401	-1.74	66.31
955.5	-0.0362	-0.2445	-1.74	66.53
959	-0.0362	-0.2456	-1.75	66.77
962.5	-0.0363	-0.2437	-1.74	66.96
966	-0.0364	-0.2465	-1.75	67.12
969.5	-0.0364	-0.2497	-1.75	67.33
973	-0.0365	-0.2512	-1.75	67.54
976.5	-0.0365	-0.2549	-1.76	67.72
980	-0.0366	-0.2548	-1.76	67.89
